home_team,home_goals,home_yellow_cards,home_red_cards,home_saves,away_team,away_goals,away_yellow_cards,away_red_cards,away_saves
Crystal Palace,0,1,0,1,Arsenal,2,2,0,1
Fulham,2,2,0,1,Liverpool,2,0,0,1
Bournemouth,2,3,0,1,Aston Villa,0,3,0,1
Leeds,2,2,0,1,Wolves,1,0,0,1
Newcastle,2,0,0,0,Nott'm Forest,0,3,0,1
Spurs,4,3,0,1,Southampton,1,0,0,1
Everton,0,3,0,1,Chelsea,1,2,0,1
Leicester,2,0,0,1,Brentford,2,0,0,1
Man Utd,1,4,0,1,Brighton,2,1,0,1
West Ham,0,0,0,0,Man City,2,1,0,1
Aston Villa,2,4,0,1,Everton,1,1,0,1
Arsenal,4,1,0,1,Leicester,2,1,0,1
Brighton,0,2,0,1,Newcastle,0,3,0,1
Man City,4,0,0,1,Bournemouth,0,3,0,1
Southampton,2,1,0,1,Leeds,2,3,0,1
Wolves,0,3,0,1,Fulham,0,3,0,1
Brentford,4,0,0,1,Man Utd,0,4,0,1
Nott'm Forest,1,4,0,1,West Ham,0,1,0,1
Chelsea,2,3,0,1,Spurs,2,0,0,1
Liverpool,1,2,1,1,Crystal Palace,1,4,0,1
Spurs,1,2,0,1,Wolves,0,2,0,1
Crystal Palace,3,2,0,1,Aston Villa,1,1,0,1
Everton,1,3,0,1,Nott'm Forest,1,2,0,1
Fulham,3,3,0,1,Brentford,2,2,0,1
Leicester,1,2,0,1,Southampton,2,3,0,0
Bournemouth,0,2,0,1,Arsenal,3,1,0,1
Leeds,3,0,0,1,Chelsea,0,1,1,1
West Ham,0,2,0,0,Brighton,2,0,0,1
Newcastle,3,4,0,1,Man City,3,2,0,1
Man Utd,2,3,0,1,Liverpool,1,1,0,1
Southampton,0,0,0,1,Man Utd,1,3,0,1
Brentford,1,2,0,1,Everton,1,2,0,1
Brighton,1,2,0,1,Leeds,0,3,0,1
Chelsea,2,1,1,1,Leicester,1,2,0,1
Liverpool,9,0,0,1,Bournemouth,0,1,0,1
Man City,4,1,0,1,Crystal Palace,2,2,0,1
Arsenal,2,2,0,1,Fulham,1,3,0,1
Aston Villa,0,2,0,1,West Ham,1,0,0,1
Wolves,1,2,0,1,Newcastle,1,1,0,1
Nott'm Forest,0,6,0,1,Spurs,2,1,0,1
Crystal Palace,1,1,0,1,Brentford,1,2,0,1
Fulham,2,2,0,1,Brighton,1,1,0,1
Southampton,2,2,0,1,Chelsea,1,1,0,1
Leeds,1,3,0,1,Everton,1,3,0,1
Arsenal,2,2,0,1,Aston Villa,1,3,0,1
Bournemouth,0,2,0,1,Wolves,0,1,0,1
Man City,6,0,0,1,Nott'm Forest,0,1,0,1
West Ham,1,2,0,1,Spurs,1,5,0,1
Liverpool,2,0,0,1,Newcastle,1,2,0,1
Leicester,0,1,0,1,Man Utd,1,3,0,1
Everton,0,2,0,1,Liverpool,0,2,0,1
Brentford,5,2,0,1,Leeds,2,2,0,1
Chelsea,2,4,0,1,West Ham,1,2,0,1
Newcastle,0,2,0,1,Crystal Palace,0,1,0,1
Nott'm Forest,2,2,0,0,Bournemouth,3,1,0,1
Spurs,2,3,0,1,Fulham,1,4,0,1
Wolves,1,4,0,1,Southampton,0,2,0,1
Aston Villa,1,2,0,1,Man City,1,0,0,0
Brighton,5,1,0,1,Leicester,2,1,0,1
Man Utd,3,3,0,1,Arsenal,1,3,0,1
Aston Villa,1,3,0,1,Southampton,0,1,0,1
Nott'm Forest,2,2,0,1,Fulham,3,4,0,1
Wolves,0,2,1,1,Man City,3,1,0,1
Newcastle,1,2,0,1,Bournemouth,1,2,0,1
Spurs,6,1,0,1,Leicester,2,2,0,1
Brentford,0,0,0,1,Arsenal,3,2,0,1
Everton,1,3,0,1,West Ham,0,1,0,1
Arsenal,3,2,0,1,Spurs,1,1,1,1
Bournemouth,0,1,0,1,Brentford,0,2,0,0
Crystal Palace,1,1,0,1,Chelsea,2,3,0,1
Fulham,1,2,1,1,Newcastle,4,0,0,0
Liverpool,3,1,0,1,Brighton,3,1,0,1
Southampton,1,2,0,1,Everton,2,2,0,1
West Ham,2,2,0,1,Wolves,0,2,0,1
Man City,6,0,0,1,Man Utd,3,3,0,1
Leeds,0,3,1,1,Aston Villa,0,2,0,1
Leicester,4,2,0,1,Nott'm Forest,0,4,0,1
Bournemouth,2,1,0,1,Leicester,1,2,0,1
Chelsea,3,2,0,1,Wolves,0,0,0,1
Man City,4,0,0,0,Southampton,0,1,0,1
Newcastle,5,0,0,1,Brentford,1,1,0,1
Brighton,0,1,0,1,Spurs,1,2,0,1
Crystal Palace,2,3,0,1,Leeds,1,3,0,1
West Ham,3,1,0,1,Fulham,1,3,0,1
Arsenal,3,1,0,1,Liverpool,2,2,0,1
Everton,1,2,0,1,Man Utd,2,1,0,1
Nott'm Forest,1,3,0,1,Aston Villa,1,3,0,1
Brentford,2,3,0,1,Brighton,0,1,0,0
Leicester,0,2,0,1,Crystal Palace,0,2,0,1
Fulham,2,2,0,1,Bournemouth,2,0,0,1
Wolves,1,2,0,1,Nott'm Forest,0,2,0,1
Spurs,2,1,0,0,Everton,0,4,0,1
Aston Villa,0,0,0,1,Chelsea,2,3,0,1
Leeds,0,0,0,1,Arsenal,1,2,0,1
Man Utd,0,3,0,1,Newcastle,0,1,0,1
Southampton,1,1,0,1,West Ham,1,1,0,1
Liverpool,1,3,0,1,Man City,0,1,0,1
Brighton,0,3,0,0,Nott'm Forest,0,1,0,1
Crystal Palace,2,3,0,1,Wolves,1,1,0,1
Bournemouth,0,1,0,1,Southampton,1,3,0,1
Brentford,0,0,0,1,Chelsea,0,0,0,1
Liverpool,1,0,0,1,West Ham,0,0,0,1
Newcastle,1,2,0,0,Everton,0,4,0,1
Man Utd,2,1,0,1,Spurs,0,0,0,1
Fulham,3,0,0,1,Aston Villa,0,2,1,1
Leicester,2,2,0,1,Leeds,0,1,0,0
Nott'm Forest,1,2,0,1,Liverpool,0,1,0,1
Everton,3,3,0,1,Crystal Palace,0,4,0,1
Man City,3,1,0,1,Brighton,1,3,0,1
Chelsea,1,1,0,1,Man Utd,1,4,0,1
Aston Villa,4,1,0,1,Brentford,0,0,0,1
Leeds,2,1,0,1,Fulham,3,1,0,1
Southampton,1,2,0,1,Arsenal,1,1,0,1
Wolves,0,2,0,0,Leicester,4,1,0,1
Spurs,1,4,0,1,Newcastle,2,2,0,1
West Ham,2,0,0,1,Bournemouth,0,2,0,2
Leicester,0,0,0,1,Man City,1,0,0,1
Bournemouth,2,1,0,1,Spurs,3,2,0,1
Brentford,1,3,0,1,Wolves,1,3,1,1
Brighton,4,1,0,1,Chelsea,1,2,0,2
Crystal Palace,1,3,0,1,Southampton,0,3,0,1
Newcastle,4,1,0,0,Aston Villa,0,1,0,2
Fulham,0,2,0,1,Everton,0,1,0,1
Liverpool,1,0,0,1,Leeds,2,1,0,1
Arsenal,5,0,0,1,Nott'm Forest,0,1,0,1
Man Utd,1,1,0,1,West Ham,0,3,0,1
Leeds,4,2,0,1,Bournemouth,3,2,0,0
Man City,2,2,1,1,Fulham,1,4,0,1
Nott'm Forest,2,2,0,0,Brentford,2,2,0,1
Wolves,2,2,1,1,Brighton,3,0,0,1
Everton,0,0,0,1,Leicester,2,0,0,1
Chelsea,0,5,0,1,Arsenal,1,2,0,1
Aston Villa,3,3,0,1,Man Utd,1,3,0,1
Southampton,1,1,0,0,Newcastle,4,0,0,1
West Ham,1,1,0,1,Crystal Palace,2,1,0,1
Spurs,1,0,0,1,Liverpool,2,0,0,1
Man City,1,2,0,1,Brentford,2,2,0,1
Bournemouth,3,2,0,1,Everton,0,0,0,1
Liverpool,3,0,0,1,Southampton,1,2,0,1
Nott'm Forest,1,1,0,0,Crystal Palace,0,4,0,1
Spurs,4,1,0,1,Leeds,3,1,1,1
West Ham,0,3,0,1,Leicester,2,1,0,1
Newcastle,1,4,0,1,Chelsea,0,2,0,1
Wolves,0,3,0,1,Arsenal,2,2,0,1
Brighton,1,2,0,0,Aston Villa,2,7,0,1
Fulham,1,1,0,1,Man Utd,2,1,0,1
Brentford,2,3,0,1,Spurs,2,1,0,1
Crystal Palace,0,0,2,1,Fulham,3,0,0,0
Everton,1,1,0,1,Wolves,2,6,0,1
Leicester,0,0,0,1,Newcastle,3,0,0,1
Southampton,1,1,0,1,Brighton,3,2,0,1
Aston Villa,1,0,0,1,Liverpool,3,0,0,1
Arsenal,3,0,0,1,West Ham,1,2,0,1
Chelsea,2,0,0,1,Bournemouth,0,0,0,1
Man Utd,3,3,0,1,Nott'm Forest,0,1,0,1
Leeds,1,3,0,1,Man City,3,3,0,0
West Ham,0,1,0,1,Brentford,2,0,0,1
Liverpool,2,0,0,1,Leicester,1,1,0,1
Wolves,0,1,0,1,Man Utd,1,3,0,1
Bournemouth,0,4,0,1,Crystal Palace,2,1,0,1
Fulham,2,0,0,1,Southampton,1,1,0,1
Man City,1,3,0,0,Everton,1,4,0,1
Newcastle,0,3,0,1,Leeds,0,5,0,1
Brighton,2,3,0,1,Arsenal,4,3,0,1
Spurs,0,4,0,1,Aston Villa,2,3,0,1
Nott'm Forest,1,2,0,1,Chelsea,1,2,0,1
Brentford,3,1,0,1,Liverpool,1,3,0,1
Arsenal,0,4,0,1,Newcastle,0,5,0,1
Everton,1,3,0,1,Brighton,4,1,0,1
Leicester,0,2,0,1,Fulham,1,6,0,1
Man Utd,3,0,0,1,Bournemouth,0,3,0,1
Southampton,0,2,0,0,Nott'm Forest,1,2,0,0
Leeds,2,3,0,0,West Ham,2,1,0,1
Aston Villa,1,1,0,1,Wolves,1,3,0,1
Crystal Palace,0,1,0,1,Spurs,4,2,0,1
Chelsea,0,2,0,1,Man City,1,0,0,1
Fulham,2,4,0,1,Chelsea,1,3,1,1
Aston Villa,2,2,0,1,Leeds,1,2,0,1
Man Utd,2,3,0,0,Man City,1,0,0,1
Brighton,3,1,0,1,Liverpool,0,3,0,1
Everton,1,0,0,1,Southampton,2,3,0,1
Nott'm Forest,2,1,0,1,Leicester,0,2,0,1
Wolves,1,0,0,1,West Ham,0,2,0,1
Brentford,2,1,0,1,Bournemouth,0,1,0,1
Chelsea,1,2,0,1,Crystal Palace,0,5,0,1
Newcastle,1,1,0,0,Fulham,0,3,0,1
Spurs,0,4,0,1,Arsenal,2,2,0,1
Crystal Palace,1,1,0,1,Man Utd,1,2,0,1
Man City,4,1,0,1,Spurs,2,2,0,1
Liverpool,0,3,0,1,Chelsea,0,1,0,1
Bournemouth,1,1,0,1,Nott'm Forest,1,2,0,1
Leicester,2,0,0,1,Brighton,2,1,0,0
Southampton,0,1,0,1,Aston Villa,1,2,0,1
West Ham,2,1,0,1,Everton,0,1,0,1
Crystal Palace,0,4,0,1,Newcastle,0,2,0,1
Leeds,0,2,0,0,Brentford,0,2,0,1
Man City,3,1,0,1,Wolves,0,2,0,1
Arsenal,3,1,0,1,Man Utd,2,2,0,1
Fulham,0,1,0,1,Spurs,1,3,0,1
Chelsea,0,1,0,1,Fulham,0,4,0,1
Everton,1,4,0,1,Arsenal,0,1,0,1
Aston Villa,2,0,0,1,Leicester,4,3,0,1
Brentford,3,1,0,1,Southampton,0,2,0,0
Brighton,1,3,0,1,Bournemouth,0,1,0,1
Man Utd,2,1,1,1,Crystal Palace,1,2,0,1
Wolves,3,1,0,1,Liverpool,0,1,0,1
Newcastle,1,2,0,0,West Ham,1,1,0,1
Nott'm Forest,1,4,0,1,Leeds,0,2,0,1
Spurs,1,2,1,1,Man City,0,3,0,1
Man Utd,2,1,0,1,Leeds,2,3,0,1
West Ham,1,1,0,1,Chelsea,1,1,0,1
Arsenal,1,0,0,1,Brentford,1,2,0,1
Crystal Palace,1,4,0,1,Brighton,1,1,0,0
Fulham,2,0,0,1,Nott'm Forest,0,1,0,1
Leicester,4,5,0,1,Spurs,1,2,0,1
Southampton,1,2,0,0,Wolves,2,2,1,1
Bournemouth,1,2,0,1,Newcastle,1,3,0,1
Leeds,0,2,0,1,Man Utd,2,1,0,1
Man City,3,1,0,1,Aston Villa,1,2,0,1
Liverpool,2,1,0,1,Everton,0,3,0,1
Arsenal,1,2,0,1,Man City,3,4,0,0
Aston Villa,2,2,0,1,Arsenal,4,1,0,1
Brentford,1,2,0,1,Crystal Palace,1,2,0,1
Brighton,0,0,0,1,Fulham,1,5,0,1
Chelsea,0,3,0,1,Southampton,1,6,0,1
Everton,1,2,0,0,Leeds,0,3,0,1
Nott'm Forest,1,1,0,1,Man City,1,0,0,0
Wolves,0,3,0,0,Bournemouth,1,3,0,1
Newcastle,0,1,1,1,Liverpool,2,1,0,1
Man Utd,3,0,0,1,Leicester,0,2,0,1
Spurs,2,2,0,1,West Ham,0,1,0,1
Fulham,1,2,0,1,Wolves,1,0,0,1
Everton,0,2,0,1,Aston Villa,2,1,0,1
Leeds,1,2,0,1,Southampton,0,4,0,1
Leicester,0,0,0,1,Arsenal,1,1,0,0
West Ham,4,0,0,2,Nott'm Forest,0,0,0,1
Bournemouth,1,2,0,1,Man City,4,2,0,1
Crystal Palace,0,2,0,1,Liverpool,0,5,0,0
Spurs,2,2,0,1,Chelsea,0,3,0,1
Arsenal,4,0,0,1,Everton,0,2,0,1
Liverpool,2,2,0,1,Wolves,0,3,0,1
Man City,2,2,0,1,Newcastle,0,4,0,1
Arsenal,3,0,0,1,Bournemouth,2,2,0,1
Aston Villa,1,2,0,0,Crystal Palace,0,3,1,1
Brighton,4,0,0,1,West Ham,0,3,0,1
Chelsea,1,2,0,1,Leeds,0,0,0,1
Wolves,1,1,0,1,Spurs,0,1,0,1
Southampton,1,4,0,0,Leicester,0,2,0,1
Nott'm Forest,2,3,0,1,Everton,2,5,0,1
Liverpool,7,2,0,1,Man Utd,0,3,0,1
Brentford,3,0,0,1,Fulham,2,3,0,1
Bournemouth,1,2,0,1,Liverpool,0,1,0,1
Everton,1,2,0,1,Brentford,0,1,0,1
Leeds,2,1,0,1,Brighton,2,1,0,1
Leicester,1,1,1,1,Chelsea,3,2,0,1
Spurs,3,3,0,1,Nott'm Forest,1,1,0,1
Crystal Palace,0,2,0,1,Man City,1,2,0,0
Fulham,0,0,0,1,Arsenal,3,1,0,1
Man Utd,0,2,1,1,Southampton,0,0,0,1
West Ham,1,1,0,1,Aston Villa,1,0,0,1
Newcastle,2,1,0,1,Wolves,1,2,0,1
Brighton,1,1,0,1,Crystal Palace,0,2,0,1
Southampton,0,1,0,1,Brentford,2,2,0,0
Nott'm Forest,1,5,0,1,Newcastle,2,1,0,1
Aston Villa,3,1,0,1,Bournemouth,0,4,0,1
Brentford,1,1,1,0,Leicester,1,2,0,1
Southampton,3,1,0,0,Spurs,3,1,0,1
Wolves,2,3,2,0,Leeds,4,5,0,1
Chelsea,2,2,0,1,Everton,2,2,0,1
Arsenal,4,0,0,1,Crystal Palace,1,1,0,1
